Reference ID,Formula,Microstructure,Processing Method,Calculated Density (g/cm³),Yield Strength (MPa)
74,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,1100.0
74,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,8.4,890.0
75,Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,BCC+Sec.,CAST,8.5,1617.0
75,Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,BCC+Sec.,CAST,8.2,1787.0
75,Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,BCC+Sec.,CAST,7.9,2134.0
75,Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,9.0,1260.0
77,Al0.25 Nb1 Ta1 Ti1 Zr1,BCC+B2,OTHER,8.6,1745.0
77,Al0.5 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+B2,OTHER,7.6,2350.0
77,Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+B2,OTHER,7.1,2197.0
77,Al1 Nb1 Ta0.5 Ti1 Zr0.5,B2,OTHER,6.9,1352.0
78,Hf1 Nb1 Si0.5 Ti1 V1 Zr1,BCC+Laves+Sec.,ANNEAL,7.5,1483.0
78,Hf1 Nb1 Si0.5 Ti1 V1 Zr1,BCC+Laves+Sec.,CAST,7.5,1540.0
83,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,905.0
84,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,890.0
86,Al0.2 Mo1 Ta1 Ti1 V1,BCC,CAST,9.3,1021.0
86,Al0.6 Mo1 Ta1 Ti1 V1,BCC,CAST,8.7,962.0
86,Mo1 Ta1 Ti1 V1,BCC,CAST,9.6,1221.0
87,Hf1 Nb1 Ta1 Zr1,BCC+HCP,ANNEAL,11.1,2310.0
87,Hf1 Nb1 Ta1 Zr1,BCC+HCP,ANNEAL,11.1,2100.0
87,Hf1 Nb1 Ta1 Zr1,BCC+HCP,ANNEAL,11.1,2020.0
87,Hf1 Nb1 Ta1 Zr1,BCC+HCP,ANNEAL,11.1,1950.0
87,Hf1 Nb1 Ta1 Zr1,BCC,CAST,11.1,1315.0
89,Mo1 Nb1 Ta1 Ti0.25 W1,BCC,CAST,13.1,1109.0
89,Mo1 Nb1 Ta1 Ti0.5 W1,BCC,CAST,12.6,1211.0
89,Mo1 Nb1 Ta1 Ti0.75 W1,BCC,CAST,12.2,1304.0
89,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,11.8,1455.0
89,Mo1 Nb1 Ta1 W1,BCC,CAST,13.7,996.0
90,Mo1 Nb1 Ta1 Ti1 V1,BCC,CAST,9.4,1400.0
91,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,11.0,1515.0
91,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,11.8,1343.0
92,Mo1 Nb1 Ta1 Ti1 Zr1,BCC+BCC,CAST,9.1,1390.0
93,Mo1 Nb1 Ta1 Ti1 Zr1,BCC+BCC,ANNEAL,9.1,1100.0
93,Mo1 Nb1 Ta1 Ti1 Zr1,BCC+BCC,CAST,9.1,1375.0
94,Mo1 Nb1 Ta1 V1 W1,BCC,POWDER,12.4,2612.0
95,Nb1 Ta1 Ti1 V1,BCC,CAST,9.2,965.0
95,Nb1 Ta1 Ti1 V1 W1,BCC,CAST,11.1,1420.0
95,Nb1 Ta1 V1 W1,BCC,CAST,12.9,1530.0
96,Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,BCC+Laves,ANNEAL,5.8,1340.0
