Reference ID,Formula,Microstructure,Processing Method,Calculated Density (g/cm³),Yield Strength (MPa),Strength-to-Weight Ratio (MPa·cm³/g),Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.4,BCC,CAST,6.2,1481.0,238.8709677419355,0.0,0.185,0.0,0.0,0.0,0.185,0.185,0.0,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.0,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.6,BCC,CAST,6.0,1834.0,305.6666666666667,0.0,0.179,0.0,0.0,0.0,0.179,0.179,0.0,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.0,0.0,0.0,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.8,BCC+Sec.,CAST,5.8,2179.0,375.6896551724138,0.0,0.172,0.0,0.0,0.0,0.172,0.172,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,FCC,CAST,7.5,750.0,100.0,0.0,0.045,0.0,0.0,0.0,0.182,0.182,0.136,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0
13,Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,FCC+BCC,CAST,7.1,1580.0,222.53521126760563,0.0,0.091,0.0,0.0,0.0,0.182,0.182,0.091,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0
13,Al0.75 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,FCC+BCC,CAST,6.8,1900.0,279.4117647058824,0.0,0.136,0.0,0.0,0.0,0.182,0.182,0.045,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0
13,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,CAST,7.8,700.0,89.74358974358975,0.0,0.0,0.0,0.0,0.0,0.182,0.182,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0
14,Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+BCC,CAST,6.2,1860.0,300.0,0.0,0.167,0.0,0.0,0.0,0.167,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0
14,Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,BCC+BCC,CAST,6.4,2260.0,353.125,0.0,0.182,0.0,0.0,0.0,0.182,0.182,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0
14,Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,BCC+Sec.,CAST,6.1,2220.0,363.93442622950823,0.0,0.154,0.0,0.0,0.0,0.154,0.154,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.0,0.0
17,Co1 Cr1 Fe1 Mn1 Ni1,FCC,ANNEAL,8.0,230.0,28.75,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Co1 Cr1 Fe1 Mn1 Ni1 V0.25,FCC+Sec.,ANNEAL,7.9,200.0,25.31645569620253,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0
17,Co1 Cr1 Fe1 Mn1 Ni1 V0.5,FCC,ANNEAL,7.8,620.0,79.48717948717949,0.0,0.0,0.0,0.0,0.0,0.182,0.182,0.0,0.182,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0
17,Co1 Cr1 Fe1 Mn1 Ni1 V0.75,FCC+Sec.,ANNEAL,7.7,740.0,96.1038961038961,0.0,0.0,0.0,0.0,0.0,0.174,0.174,0.0,0.174,0.0,0.0,0.0,0.0,0.174,0.0,0.0,0.0,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0
17,Co1 Cr1 Fe1 Mn1 Ni1 V1,FCC+Sec.,ANNEAL,7.7,1660.0,215.58441558441558,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0
19,Al1 Cr1 Fe1 Ni1,BCC+B2,CAST,6.3,1406.0,223.1746031746032,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Al1 Cr1 Fe1 Mo0.2 Ni1,BCC+B2,CAST,6.5,1487.0,228.76923076923077,0.0,0.238,0.0,0.0,0.0,0.0,0.238,0.0,0.238,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Al1 Cr1 Fe1 Mo0.5 Ni1,BCC+B2,CAST,6.8,1749.0,257.20588235294116,0.0,0.222,0.0,0.0,0.0,0.0,0.222,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Al1 Cr1 Fe1 Mo0.8 Ni1,B2+Sec.,CAST,7.0,1513.0,216.14285714285714,0.0,0.208,0.0,0.0,0.0,0.0,0.208,0.0,0.208,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Co1 Cr1 Cu1 Fe1 Ni1 Ti1,FCC,CAST,7.4,1272.0,171.89189189189187,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0
22,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,CAST,7.8,700.0,89.74358974358975,0.0,0.0,0.0,0.0,0.0,0.182,0.182,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0
22,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,FCC+Sec.,CAST,7.6,1042.0,137.10526315789474,0.0,0.0,0.0,0.0,0.0,0.172,0.172,0.172,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.0,0.0,0.0,0.0,0.0
28,Al1 Co1 Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC+Sec.,CAST,7.1,1005.0,141.5492957746479,0.0,0.143,0.0,0.0,0.0,0.143,0.143,0.143,0.143,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Al1 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,7.1,1303.0,183.5211267605634,0.0,0.167,0.0,0.0,0.0,0.167,0.167,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC+BCC,CAST,6.6,1234.0,186.96969696969697,0.0,0.143,0.0,0.0,0.0,0.143,0.143,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0
28,Al1 Co1 Cr1 Cu1 Fe1 Ni1 V1,FCC+BCC,CAST,6.9,1469.0,212.89855072463766,0.0,0.143,0.0,0.0,0.0,0.143,0.143,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0
35,Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,FCC,CAST,5.9,980.0,166.10169491525423,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0
35,Al1 Cu1 Fe1 Ni1 Ti1,FCC,CAST,6.1,1074.0,176.06557377049182,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
35,Al1 Cu1 Ni1 Ti1,FCC,CAST,5.7,300.0,52.63157894736842,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
36,Al1 Cu0.062 Li0.062 Mg0.062 Zn0.062,FCC+Sec.,CAST,2.9,488.0,168.27586206896552,0.0,0.801,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
36,Al1 Li0.062 Mg0.062 Sn0.062 Zn0.062,FCC+Sec.,CAST,3.0,415.0,138.33333333333334,0.0,0.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0
36,Al1 Li0.5 Mg1 Sn0.2 Zn0.5,FCC+Sec.,CAST,2.9,546.0,188.27586206896552,0.0,0.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.156,0.0
36,Al1 Li1 Mg1 Sn1 Zn1,FCC+HCP+Sec.,CAST,3.9,600.0,153.84615384615384,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0
